File_name,DER_MFCC,Precision_MFCC,Recall_MFCC,F1_MFCC,AUROC_MFCC,DER_segmentation,Precision_segmentation,Recall_segmentation,F1_segmentation,AUROC_segmentation,DER_scd,Precision_scd,Recall_scd,F1_scd,AUROC_scd,DER,AUROC
IS1003c.Mix-Headset,0.367197890659636,0.408302679978981,0.088842736817815,0.134298421557513,0.518616064974132,0.844710026901167,0,0,0,0.497449217077212,0.849905875072542,0.113251155624037,0.028834837191055,0.045966228893058,0.489429359023646,0.079609591743236,0.499995559281979
ES2006c.Mix-Headset,0.372417174476431,0,0.06953179594689,0.103042071197411,0.515807150693665,0.751318835962281,0,0,0,0.497209979933846,0.656998333780173,0.130970724191063,0.050340538939888,0.072727272727273,0.502384231978024,0.045995333690637,0.49999759068542
IN1008.Mix-Headset,0.377056778679027,0.24647473560517,0.021883408071749,0.038274509803922,0.502951132438939,0.684569943880161,0.039182282793867,0.006944444444444,0.01179789689664,0.50088989923039,0.429148774777208,0.081664098613251,0.032004830917874,0.045986984815618,0.49198661983497,0.046636129272631,0.499997212756881
IN1014.Mix-Headset,0.377200504413619,0.156343656343656,0.118279569892473,0.178100987925357,0.545590988107622,0.929659179168258,0.128060263653484,0.065552699228792,0.086716259298619,0.526428318463798,0.843537831060003,0.072419106317411,0.030205655526992,0.042630385487528,0.491039191036471,0.081660736220893,0.499997401720307
IS1005c.Mix-Headset,0.387546784620619,0.296666666666667,0.048503861003861,0.069973890339426,0.508290602519442,1.12147112480133,0.088631984585742,0.036770583533174,0.051977401129944,0.51408583896967,1.03900427611484,0.177195685670262,0.091926458832934,0.121052631578947,0.52512583135973,0.159382454527383,0.499998063103703
ES2007a.Mix-Headset,0.389367021394279,0.268188302425107,0.108286009292721,0.150466284074605,0.522281233802675,0.744187804906646,0.166079812206573,0.121615814353245,0.140411808484247,0.547633666016621,0.770942063366546,0.140986132511556,0.039321014181349,0.061491935483871,0.495911838294083,0.089672044735756,0.499995842741886
TS3006b.Mix-Headset,0.4059955588453,0.108614232209738,0.067548820830221,0.113319011815252,0.518656234951081,1.05099274666008,0.249047013977128,0.069565217391304,0.108752947704259,0.529253094563112,1.12672438397869,0.13020030816641,0.029991126885537,0.048752343862686,0.489899982398935,0.112428141975635,0.499996173419856
TS3012d.Mix-Headset,0.419122686771761,0.275,0.021199944575308,0.036354995841749,0.497763741505221,0.697239213533258,0.116189000774593,0.035808068751492,0.054744525547445,0.512637572644137,0.709131823587626,0.212634822804314,0.065886846502745,0.100601421541826,0.511598394011607,0.073429473458904,0.499996456882289
ES2005b.Mix-Headset,0.432147358644937,0.1525,0,0,0.476806453856318,0.819113537483076,0.115555555555556,0.046001415428167,0.065806125031638,0.518465198551899,0.541708865043481,0.068567026194145,0.031493276716207,0.043161978661494,0.491856190585112,0.080286747046408,0.499997637929337
TS3009a.Mix-Headset,0.434507871907465,0.103656932386214,0.12617433701986,0.18762157382847,0.539849564003855,0.519366568583412,0.171416234887738,0.080283114256825,0.109351329018042,0.531221866877323,0.393938886888181,0.191833590138675,0.050353892821031,0.079769341662662,0.502553585471937,0.105722011107863,0.499996220674799
ES2003b.Mix-Headset,0.434591976964858,0.21222810111699,0.007453013609851,0.012479652740098,0.497303119887706,0.766369461250073,0.151063829787234,0.038882803943045,0.06184668989547,0.517639071137662,0.363742796202068,0.112480739599384,0.079956188389923,0.093469910371319,0.51807945145459,0.099404577791525,0.499998818967681
IS1005b.Mix-Headset,0.434622248661511,0,0.022972502610512,0.039122703023118,0.506666520323803,0.893182748292222,0.08252427184466,0.040117994100295,0.053989678443827,0.516648091174907,0.513099449424156,0.057010785824345,0.043657817109145,0.049448713665219,0.49867690734401,0.036472845802008,0.499998960692051
ES2013d.Mix-Headset,0.435347261434218,0.380903136849362,0.019170104343606,0.024602927436936,0.484265423192109,0.5494360124444,0.061122956645345,0.035581299131154,0.044979079497908,0.511791503342632,0.435804111548985,0.031587057010786,0.01696317749276,0.02207267833109,0.484037749293984,0.038357556137209,0.499998393794681
TS3007a.Mix-Headset,0.455464799688837,0.136686009026435,0,0,0.496462180711809,0.641254468686264,0.08109756097561,0.040108564535585,0.053672316384181,0.513154099117609,0.321496454873425,0.128659476117103,0.050361881785284,0.072388383181621,0.502390468156576,0.0471061002994,0.499997496205097
ES2006a.Mix-Headset,0.458402286745901,0.15129888666857,0.0629987400252,0.090063044130892,0.512997126615588,0.705597960787823,0.142635658914729,0.032951289398281,0.053535059645039,0.513955685528859,0.736796656004791,0.102465331278891,0.047636103151863,0.065036674816626,0.500827958036838,0.114532528270102,0.499997732411735
TS3006c.Mix-Headset,0.460370994940978,0.31210986267166,0.013570425830604,0.024126455906822,0.498201212338226,0.847902340475099,0.259557344064386,0.067859021567596,0.107589658048374,0.530544482176627,0.825273056480345,0.140215716486903,0.047869542346134,0.071372549019608,0.500997294295523,0.141573191828215,0.499997023784497
TS3005c.Mix-Headset,0.481934019898761,0.05125,0.097472924187726,0.093567251461988,0.524874414216875,1.70425353419337,0.036156041864891,0.055433989788476,0.043766196372013,0.518602774731387,1.28496234166381,0.036209553158706,0.034281546316557,0.035219183214687,0.49376458659725,0.152378109452736,0.499998630003675
ES2015c.Mix-Headset,0.496568549214528,0.079754601226994,0.016048699501937,0.028196402527953,0.503045302303575,0.789616992679228,0.132132132132132,0.020313942751616,0.035214085634254,0.508847501507208,0.724046764301592,0.00693374422188,0.00415512465374,0.005196304849885,0.477253774628992,0.041440266554095,0.499998677242803
TS3006d.Mix-Headset,0.507744899049247,0.270416666666667,0.056499261447563,0.096896770107663,0.512268141270488,0.875279815552199,0.14041404140414,0.024516737388025,0.041744715012042,0.507760144432804,0.844510331047277,0.359013867488444,0.073235895018073,0.121655136405169,0.517505570407135,0.11611285321272,0.499993858562312
ES2002c.Mix-Headset,0.510786478681841,0.148798271671618,0.028694673668417,0.049101412066752,0.50559370413523,0.827490408272369,0.321976149914821,0.06142346441339,0.103165938864629,0.528893367638305,0.535453068798176,0.115562403697997,0.048748781280468,0.068571428571429,0.501462048312276,0.065779284775671,0.499997826894374
TS3009d.Mix-Headset,0.541056123859552,0.074145712443585,0.070520367318107,0.126184958921424,0.530185005205148,0.988034206436524,0.179289026275116,0.023707337012058,0.04187725631769,0.509386723707984,0.937423067013998,0.2326656394453,0.061720825669324,0.097560975609756,0.509428152548898,0.087693251533742,0.499996173427449
